obs site length width height
1 1 7.2 6.1 4.45
2 1 7.5 5.9 4.65
3 1 6.89 5.45 4
4 1 6.95 5.76 4.02
5 1 6.73 5.36 3.9
6 1 7.25 5.84 4.4
7 1 7.2 5.83 4.19
8 1 6.85 5.75 3.95
9 1 7.52 6.27 4.6
10 1 7.01 5.65 4.2
11 1 6.65 5.55 4.1
12 1 7.55 6.25 4.72
13 1 7.14 5.65 4.26
14 1 7.45 6.05 4.85
15 1 7.24 5.73 4.29
16 1 7.75 6.35 4.85
17 1 6.85 6.05 4.5
18 1 6.5 5.3 3.73
19 1 6.64 5.36 3.99
20 1 7.19 5.85 4.05
21 1 7.15 6.3 4.55
22 1 7.21 6.12 4.37
23 1 7.15 6.2 4.36
24 1 7.3 6.15 4.65
25 1 6.35 5.25 3.75
26 2 7.25 6.25 4.65
27 2 7.23 5.99 4.2
28 2 6.85 5.61 4.01
29 2 7.07 5.91 4.31
30 2 6.55 5.3 3.95
31 2 7.43 6.1 4.6
32 2 7.3 5.95 4.29
33 2 6.9 5.8 4.33
34 2 7.1 5.81 4.26
35 2 6.95 5.65 4.31
36 2 7.39 6.04 4.5
37 2 6.54 5.89 3.65
38 2 6.39 5 3.72
39 2 6.08 4.8 3.51
40 2 6.3 5.05 3.69
41 2 6.35 5.1 3.73
42 2 7.34 6.45 4.55
43 2 6.7 5.51 3.89
44 2 7.08 5.81 4.34
45 2 7.09 5.95 4.39
46 2 7.4 6.25 4.85
47 2 6 4.75 3.37
48 2 6.94 5.63 4.09
49 2 5.95 4.75 3.2
50 3 7.6 6.45 4.56
51 3 6.15 5.05 3.5
52 3 7 5.8 4.3
53 3 6.81 5.61 4.22
54 3 7.1 5.75 4.1
55 3 6.85 5.55 3.89
56 3 6.68 5.5 3.9
57 3 5.51 4.52 2.7
58 3 6.85 5.53 4
59 3 7.1 5.8 4.45
60 3 6.81 5.45 3.51
61 3 7.3 6 4.31
62 3 7.05 6.25 4.71
63 3 6.75 5.65 4
64 3 6.75 5.57 4.06
65 3 7.35 6.21 4.29
66 3 6.22 5.11 3.35
67 3 6.8 5.81 4.5
68 3 6.29 4.95 3.69
69 3 7.55 5.93 4.55
70 3 7.45 6.19 4.7
71 3 6.7 5.55 4
72 3 7.51 6.2 4.74
73 3 6.95 5.69 4.29
74 3 7.5 6.2 4.65
